Filename-->,NEW0004.ROH,NEW0005.ROH,NEW0007.ROH,NEW0006.ROH,NEW0008.ROH,NEW0001.ROH,NEW0003.ROH,NEW0002.ROH,NEW0009.ROH,NEW0010.ROH,NEW0012.ROH,NEW0011.ROH,NEW0013.ROH,NEW0014.ROH,NEW0016.ROH,NEW0015.ROH,NEW0017.ROH,NEW0018.ROH,NEW0020.ROH,NEW0019.ROH,NEW0021.ROH,NEW0022.ROH,NEW0024.ROH,NEW0023.ROH,NEW0025.ROH,NEW0026.ROH,NEW0028.ROH,NEW0027.ROH,NEW0029.ROH,NEW0030.ROH,NEW0033.ROH,NEW0031.ROH,NEW0034.ROH,NEW0035.ROH,NEW0037.ROH,NEW0036.ROH,NEW0038.ROH,NEW0039.ROH,NEW0041.ROH,NEW0040.ROH,NEW0042.ROH,NEW0043.ROH,NEW0044.ROH,
Mode/Unit-->,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,ADC Counts,
Int.time[ms]-->,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
NrOfAverages-->,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001
Smoothing-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wavelength[µm],M- 40P,M- 40S,M- 41P,M- 41S,M- 42P,M- 42S,M- 43P,M- 43S,M- 44P,M- 44S,M- 45P,M- 45S,M- 46P,M- 46S,M- 47P,M- 47S,M- 48P,M- 48S,M- 49P,M- 49S,M- 50P,M- 50S,M- 51P,M- 51S,M- 52P,M- 52S,M- 53P,M- 53S,M- 54P,M- 54S,M- 55P,M- 55S,M- 56P,M- 56S,M- 57P,M- 57S,M- 58P,M- 58S,M- 59P,M- 59S,M- 60P,M- 60S,M- DARK,
0.175985,497,520,519,497,528,529,489,499,491,500,483,463,497,493,489,512,474,456,478,476,482,499,452,467,482,486,481,481,442,455,477,456,473,473,466,503,504,480,470,467,472,512,478,0.000175985
0.176582,561,599,576,566,590,609,555,545,538,574,553,553,543,562,578,563,529,570,517,524,543,512,563,516,547,566,532,544,559,537,543,562,537,556,553,523,517,564,534,556,532,553,527,0.000176582
0.177178,552,524,567,548,573,567,527,514,509,536,519,532,534,543,541,566,539,499,521,502,519,513,518,493,532,550,567,521,526,538,520,541,527,516,530,541,505,535,518,524,519,506,490,0.000177178
0.177775,539,533,538,547,568,559,513,509,486,532,454,514,526,493,529,554,490,487,527,525,482,503,479,502,520,523,480,507,494,493,487,514,505,519,491,503,481,479,508,490,477,484,472,0.000177775
0.178371,528,574,559,559,567,557,505,547,527,552,527,518,491,519,543,535,506,528,485,497,492,526,493,476,519,540,489,494,519,511,492,519,471,517,523,475,513,517,532,511,491,517,460,0.000178371
0.178968,575,560,564,545,546,591,541,525,518,540,515,548,518,510,543,559,526,514,506,494,539,542,509,505,528,552,518,521,509,518,524,520,504,519,532,539,540,532,502,519,523,530,483,0.000178968
0.179564,601,593,613,615,583,625,563,589,567,552,578,573,546,550,584,610,544,566,545,563,563,573,590,543,578,601,559,572,546,567,575,546,571,589,534,555,536,560,579,555,534,565,580,0.000179564
0.180161,523,488,521,535,510,514,487,505,492,518,489,513,486,513,498,506,485,477,466,495,484,474,466,501,488,486,485,480,511,466,451,476,486,495,506,425,464,478,475,485,511,474,462,0.000180161
0.180757,487,501,509,507,467,510,447,464,486,504,469,481,483,478,463,529,441,433,438,458,468,479,429,448,470,498,461,429,436,454,478,468,448,458,446,455,440,438,450,466,455,481,446,0.000180757
0.181353,493,517,517,502,492,526,475,495,460,486,494,506,478,483,464,513,486,466,466,468,473,472,444,463,451,505,468,456,467,461,450,458,487,477,456,473,463,492,487,466,489,462,465,0.000181353
0.18195,539,541,518,541,501,576,477,461,473,524,467,523,483,485,497,538,471,456,489,465,463,467,482,470,477,492,454,480,482,457,459,482,481,473,462,461,478,466,504,487,476,464,454,0.00018195
0.182546,529,514,524,527,531,553,477,508,497,524,471,505,466,502,499,551,453,467,469,479,498,509,461,468,495,538,482,469,452,472,472,492,499,495,486,495,467,490,472,493,464,523,471,0.000182546
0.183142,539,524,551,510,527,534,480,502,459,464,482,519,488,510,509,521,473,476,481,475,489,463,483,508,497,490,444,492,483,470,494,465,467,486,479,458,473,475,496,504,489,470,510,0.000183142
0.183739,499,506,489,543,499,552,479,465,481,499,461,477,465,465,504,502,423,464,470,444,419,470,454,456,467,480,489,474,455,454,444,436,465,477,457,438,426,446,471,491,462,465,420,0.000183739
0.184335,541,544,545,549,534,562,496,516,500,504,500,508,472,517,527,536,495,491,486,492,499,508,497,499,526,510,477,493,478,485,489,505,520,507,489,488,485,498,524,482,481,504,477,0.000184335
0.184931,597,614,616,629,632,626,602,551,585,585,579,601,569,572,602,631,566,567,544,589,587,612,566,576,601,581,560,609,594,585,579,588,589,564,582,566,587,567,599,608,579,587,559,0.000184931
0.185527,542,559,546,588,585,547,516,580,524,577,531,549,523,547,547,582,492,530,499,515,531,508,490,511,532,547,539,520,520,545,530,527,537,548,518,534,521,523,563,547,513,525,515,0.000185527
0.186123,472,494,485,462,480,487,442,487,431,459,459,465,424,414,460,494,411,438,422,430,438,413,429,422,436,449,417,415,436,450,428,423,445,426,437,426,439,423,433,432,433,458,398,0.000186123
0.18672,516,528,517,522,534,538,492,532,495,499,509,503,469,492,498,526,465,482,445,491,485,456,476,456,522,488,485,499,484,470,484,489,477,489,475,471,473,486,481,480,469,498,470,0.00018672
0.187316,521,530,516,520,573,560,496,537,513,530,485,475,503,516,534,552,497,480,498,494,532,498,501,473,497,539,511,507,471,514,487,499,493,496,504,501,488,489,503,494,483,499,476,0.000187316
0.187912,526,540,535,512,515,540,475,525,496,509,480,487,462,491,494,507,472,463,482,481,479,508,473,479,486,521,476,500,514,463,471,488,465,479,475,498,462,493,450,457,474,463,460,0.000187912
0.188508,543,567,560,568,574,596,546,543,532,558,548,547,544,504,557,569,514,524,530,529,511,524,495,502,528,555,532,516,525,507,496,523,509,514,511,537,530,521,540,544,514,537,506,0.000188508
0.189104,616,611,648,620,620,658,612,588,587,614,612,638,586,580,631,634,574,546,597,618,611,601,578,553,565,591,595,578,568,578,559,559,592,586,581,598,582,597,602,617,599,595,601,0.000189104
0.1897,649,658,660,666,637,665,608,643,601,635,650,643,581,612,633,646,574,575,605,621,625,608,574,620,636,638,616,585,590,620,585,607,638,613,570,598,606,603,633,641,602,611,612,0.0001897
0.190296,553,534,557,552,537,543,527,542,528,529,509,538,530,563,558,560,482,507,501,480,506,506,524,493,504,565,531,506,510,532,519,510,520,557,509,510,516,535,509,533,501,516,501,0.000190296
0.190892,517,518,505,489,496,507,448,493,471,489,453,489,437,459,471,499,447,469,438,442,444,478,429,423,463,451,469,441,458,442,433,448,446,451,425,445,453,463,418,459,455,461,447,0.000190892
0.191488,506,517,521,493,514,538,481,478,466,502,450,500,454,447,480,481,456,448,477,443,461,474,445,445,471,472,422,465,446,459,452,449,453,471,467,463,428,461,512,504,453,459,444,0.000191488
0.192084,485,459,482,489,502,521,441,465,470,509,460,486,455,461,474,505,415,438,437,460,464,458,466,440,482,466,464,444,417,461,434,440,473,489,456,467,459,460,452,471,449,459,452,0.000192084
0.19268,573,577,589,604,580,596,540,565,553,563,569,558,562,566,579,586,551,540,519,553,538,551,556,569,547,532,559,554,558,533,555,543,535,557,543,527,498,566,567,535,551,562,538,0.00019268
0.193276,632,633,617,572,576,659,580,580,561,602,583,571,579,623,632,619,553,532,587,574,572,562,551,533,580,595,538,545,540,531,558,541,572,575,552,564,562,563,589,581,537,561,533,0.000193276
0.193872,525,525,515,531,508,525,493,488,466,494,490,520,471,505,493,526,483,464,438,462,482,463,454,470,474,512,459,490,443,485,439,445,472,450,460,489,473,460,461,496,463,460,463,0.000193872
0.194468,576,573,566,584,569,618,577,590,534,564,527,557,541,554,575,599,527,555,531,549,529,568,507,556,572,529,522,565,519,529,535,540,553,537,550,577,519,551,554,545,555,559,542,0.000194468
0.195063,500,510,481,478,497,506,467,463,456,449,463,488,443,471,454,470,455,423,431,422,432,464,435,431,480,439,461,440,448,435,443,434,434,463,447,445,426,409,457,448,479,435,428,0.000195063
0.195659,540,539,558,548,539,537,489,494,471,505,458,514,484,507,512,496,467,498,462,473,461,456,495,462,477,516,459,471,478,491,472,480,478,497,439,501,457,487,496,479,474,506,471,0.000195659
0.196255,552,527,529,565,556,558,515,518,497,531,541,538,507,498,524,552,507,501,496,511,497,538,498,508,520,536,532,486,486,498,492,530,486,505,514,515,501,527,524,511,513,522,473,0.000196255
0.196851,573,556,554,567,528,590,534,514,530,551,526,529,558,540,542,556,511,498,492,516,502,536,485,505,532,555,530,515,514,519,531,507,523,504,513,498,527,513,527,521,528,474,473,0.000196851
0.197446,583,591,580,563,582,609,553,558,543,553,560,571,557,537,556,612,518,513,515,530,555,575,517,536,551,546,538,511,542,526,517,564,523,559,521,528,542,548,574,536,538,556,539,0.000197446
0.198042,517,552,544,524,555,528,498,492,462,505,497,527,493,457,518,546,481,480,474,477,483,494,503,447,505,500,472,480,470,513,514,478,481,531,474,487,469,490,499,519,492,475,463,0.000198042
0.198638,526,519,528,537,509,567,505,510,487,509,481,503,494,515,522,537,464,493,452,493,484,478,477,449,493,498,481,493,461,477,449,472,487,460,444,482,450,468,450,485,469,493,445,0.000198638
0.199234,529,540,542,519,525,551,481,533,505,518,534,523,486,497,512,523,496,485,513,509,501,507,492,464,485,510,496,497,513,534,502,502,474,528,513,465,492,502,491,503,544,517,492,0.000199234
0.199829,551,552,574,531,555,572,493,516,521,558,510,530,498,544,521,538,511,516,485,468,519,517,508,494,526,517,498,495,476,508,494,483,531,508,495,529,519,519,489,525,519,501,502,0.000199829
0.200425,564,583,588,556,565,612,548,550,539,568,536,554,523,543,547,570,509,541,498,540,527,529,505,517,519,535,538,534,546,538,544,527,543,556,504,523,535,519,554,552,535,527,516,0.000200425
0.20102,535,527,539,566,552,542,505,549,509,533,543,529,505,516,529,534,506,500,507,482,489,529,501,489,536,498,510,483,482,511,478,504,524,515,469,537,490,519,521,524,504,531,475,0.00020102
0.201616,539,549,544,556,557,570,536,529,502,514,509,536,523,527,550,572,468,489,499,532,524,529,496,508,537,568,522,521,508,524,508,503,520,532,537,533,545,518,533,535,511,513,503,0.000201616
0.202211,568,556,556,539,549,554,497,560,516,535,493,498,518,551,522,538,487,489,487,512,492,506,493,498,495,523,532,492,492,493,498,494,511,510,465,499,485,508,512,527,532,503,530,0.000202211
0.202807,551,505,527,527,554,555,492,534,510,541,526,495,484,491,523,547,468,490,498,485,488,498,462,468,503,539,502,489,497,490,467,518,494,497,484,489,479,493,499,488,507,507,475,0.000202807
0.203402,571,579,580,576,580,609,533,546,521,534,547,563,549,558,582,578,534,536,523,495,533,530,535,492,544,578,517,555,521,541,531,516,543,551,507,520,537,539,533,554,524,544,519,0.000203402
0.203998,558,552,533,570,570,572,551,543,505,521,504,522,483,537,529,555,505,501,504,506,538,522,488,530,558,534,501,504,514,533,521,524,527,511,515,523,522,521,535,528,513,511,501,0.000203998
0.204593,506,520,512,513,529,530,503,490,505,486,484,511,488,493,507,521,471,490,461,494,511,507,466,480,498,490,461,503,521,450,491,503,489,490,481,497,502,505,490,490,524,504,488,0.000204593
0.205189,495,540,513,522,496,517,495,495,507,495,514,497,514,497,507,503,467,502,476,484,494,491,505,443,495,500,485,491,497,487,480,481,491,503,481,467,476,506,486,498,491,498,480,0.000205189
0.205784,559,521,531,571,534,539,513,504,461,490,509,526,486,498,503,541,462,488,481,497,495,502,488,459,496,511,522,469,477,473,477,509,456,516,489,513,497,494,497,489,504,495,479,0.000205784
0.20638,538,529,521,523,509,553,512,501,512,513,499,507,527,500,534,536,511,495,490,494,479,501,481,486,528,525,511,495,500,525,490,517,513,540,497,500,480,513,500,531,508,505,484,0.00020638
0.206975,498,521,470,489,507,511,458,485,468,489,473,511,459,490,480,495,420,431,433,458,444,452,436,436,470,466,464,469,452,437,471,464,465,455,450,443,443,467,477,437,459,439,445,0.000206975
0.20757,535,517,537,517,545,572,483,518,502,540,531,533,485,508,518,546,500,508,479,491,495,497,499,481,489,514,514,482,475,492,495,509,479,500,490,510,500,513,507,515,511,537,498,0.00020757
0.208166,518,508,528,528,512,535,490,495,507,475,477,507,496,491,497,518,476,481,470,459,492,479,482,428,473,516,482,500,468,493,459,455,475,480,468,477,460,501,491,499,478,468,444,0.000208166
0.208761,494,470,470,463,443,489,444,459,440,475,449,459,434,441,463,472,446,431,415,420,419,439,425,421,463,469,417,434,420,423,457,439,443,417,414,426,431,451,424,442,448,437,416,0.000208761
0.209356,561,542,562,555,564,527,518,525,538,520,521,540,521,540,551,531,491,493,524,503,503,540,514,495,512,555,478,503,504,495,501,523,526,524,507,516,513,506,518,501,510,528,477,0.000209356
0.209951,494,544,515,493,507,554,471,475,471,494,471,470,474,502,500,511,449,458,455,454,450,457,454,444,456,474,464,442,454,464,433,471,461,479,433,469,465,470,482,479,480,462,467,0.000209951
0.210546,546,517,489,525,497,517,476,478,475,466,479,472,452,474,478,498,468,451,439,457,485,455,451,447,485,466,474,468,474,486,432,453,474,465,440,471,444,459,500,477,459,450,463,0.000210546
0.211142,607,570,589,579,558,596,550,569,571,559,546,549,564,551,597,612,492,572,564,566,550,586,560,523,561,594,537,551,504,556,574,527,564,573,556,562,550,573,532,595,579,535,522,0.000211142
0.211737,607,623,631,618,579,594,582,567,542,607,581,558,570,597,589,590,552,540,545,581,560,562,565,577,570,585,600,562,580,554,553,587,583,561,565,588,518,571,577,559,580,566,586,0.000211737
0.212332,572,512,530,547,548,549,487,500,500,485,516,510,484,482,508,530,492,481,496,488,456,505,487,464,484,516,483,485,445,477,476,470,478,490,488,460,526,514,499,512,525,467,479,0.000212332
0.212927,532,549,522,531,541,545,500,506,532,543,511,525,492,539,534,560,499,528,503,463,481,474,483,461,518,539,479,493,484,468,473,510,491,486,487,517,482,508,477,498,505,485,470,0.000212927
0.213522,565,589,551,594,580,632,574,582,533,562,551,563,534,545,552,576,534,519,509,531,513,547,496,523,539,547,540,545,516,544,530,539,546,524,532,538,555,532,540,540,555,548,506,0.000213522
0.214117,563,538,552,558,564,577,501,493,510,538,497,525,482,522,528,499,465,495,483,463,487,488,463,509,502,516,507,477,495,512,489,476,491,498,466,487,488,487,486,510,549,517,483,0.000214117
0.214712,605,610,581,603,585,622,586,564,540,597,560,583,552,590,594,600,542,565,555,533,589,536,579,538,554,568,542,558,545,553,546,539,545,557,537,556,533,561,575,569,527,593,519,0.000214712
0.215307,566,589,563,592,556,570,518,555,516,537,546,565,497,525,556,557,515,506,508,479,524,528,512,490,521,538,556,512,479,509,506,545,516,497,482,533,511,500,526,536,518,521,493,0.000215307
0.215902,611,588,584,612,567,627,558,583,557,584,545,579,559,538,597,564,573,557,539,536,506,533,545,523,570,551,522,512,529,541,522,535,559,566,552,546,535,578,526,551,551,545,522,0.000215902
0.216497,544,540,508,526,519,565,475,484,500,492,511,494,460,507,509,511,447,466,448,468,478,485,463,466,485,502,473,458,444,434,453,469,463,483,441,477,462,462,513,455,471,472,473,0.000216497
0.217092,605,603,607,591,608,627,563,586,527,551,564,590,542,565,570,593,558,535,537,541,549,533,558,532,558,584,553,554,525,556,566,566,544,549,552,543,564,560,551,563,564,557,554,0.000217092
0.217687,530,536,507,542,500,561,527,516,489,490,475,510,508,502,508,549,480,503,468,476,487,503,482,455,532,515,461,511,492,498,473,477,489,491,479,483,497,497,470,515,473,495,463,0.000217687
0.218282,499,541,499,501,495,515,444,488,477,483,463,489,441,471,494,510,446,414,435,459,469,453,425,445,469,467,458,458,450,462,455,463,436,469,447,435,465,477,459,465,460,471,422,0.000218282
0.218877,503,539,504,494,512,539,511,484,481,501,465,487,488,488,483,528,447,461,452,469,461,511,437,459,457,482,452,464,447,462,461,457,470,489,448,479,475,472,469,488,472,479,463,0.000218877
0.219471,553,554,589,535,556,597,539,566,514,548,523,538,506,519,534,546,513,515,494,508,508,518,513,458,507,536,513,508,517,513,503,542,513,524,498,485,506,527,510,514,513,527,528,0.000219471
0.220066,591,569,586,547,556,579,513,517,503,549,539,551,538,554,563,584,524,536,526,506,556,560,506,500,542,536,534,515,510,534,495,534,524,532,521,555,548,535,575,562,537,569,506,0.000220066
0.220661,549,526,531,541,526,559,505,520,512,542,510,531,508,465,533,524,503,475,512,512,491,513,501,499,506,533,490,482,482,506,500,501,514,516,509,503,489,508,503,542,496,513,468,0.000220661
0.221256,520,568,547,548,541,517,507,534,494,527,475,512,501,501,518,555,494,477,490,492,505,511,471,513,503,504,512,493,465,497,483,496,513,512,481,495,482,541,494,512,514,545,492,0.000221256
0.221851,615,583,615,615,624,624,562,560,590,586,571,591,543,574,565,599,549,563,565,552,551,554,579,572,553,571,553,565,557,544,554,582,561,568,552,560,561,572,572,579,588,567,553,0.000221851
